,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
371,agirish,61.9247,63.0231,25.18,98,100,1.23,1650149030,RU
372,college,64.8569,-147.8028,33.75,33,20,12.66,1650148958,US
373,san carlos de bariloche,-41.1456,-71.3082,64.15,29,0,4.61,1650148897,AR
374,seoul,37.5683,126.9778,47.64,87,0,3.44,1650149023,KR
375,nichinan,31.6,131.3667,53.28,55,60,4.81,1650149031,JP
376,acari,-15.4311,-74.6158,70.34,77,88,5.03,1650149031,PE
377,lucapa,-8.4192,20.7447,66.36,94,21,1.36,1650149031,AO
378,acajutla,13.5928,-89.8275,85.32,69,52,9.98,1650149032,SV
379,mold,53.1667,-3.1414,56.08,91,99,5.55,1650149032,GB
380,oriximina,-1.7656,-55.8661,75.85,94,100,1.43,1650149033,BR
381,crestview,30.7621,-86.5705,79.09,76,100,4.61,1650149033,US
382,vysokogornyy,50.1167,139.15,30.92,90,100,3.18,1650149034,RU
383,bajil,15.0584,43.2851,82.53,55,24,1.97,1650149034,YE
384,proletariy,58.4342,31.7046,28.04,95,20,5.23,1650149035,RU
385,aykhal,66.0,111.5,27.54,96,100,10.54,1650149035,RU
386,dalupirip,16.3258,120.7256,75.04,85,45,3.85,1650149036,PH
387,labuhan,-6.8844,112.2051,78.4,88,98,5.41,1650149036,ID
388,margate,51.3813,1.3862,52.3,82,10,3.0,1650149037,GB
389,miri,4.4148,114.0089,77.14,94,40,3.44,1650149037,MY
390,san jose,37.3394,-121.895,67.28,63,40,16.11,1650148917,US
391,raudeberg,61.9875,5.1352,45.27,72,100,12.75,1650149038,NO
392,yazman,29.1212,71.7446,83.55,8,28,9.95,1650149038,PK
393,carutapera,-1.195,-46.02,77.34,92,98,5.3,1650149039,BR
394,amuntai,-2.4177,115.2494,72.9,97,100,1.97,1650149039,ID
395,pemba,-12.974,40.5178,77.56,87,2,10.69,1650149039,MZ
396,nome,64.5011,-165.4064,34.16,69,100,20.71,1650149040,US
397,pangnirtung,66.1451,-65.7125,3.04,95,100,3.04,1650149040,CA
398,la cruz,23.9167,-106.9,82.69,39,88,11.21,1650149041,MX
399,sarankhola,22.3082,89.7897,78.8,89,9,7.11,1650149041,BD
400,belaya gora,68.5333,146.4167,11.53,92,93,3.38,1650149042,RU
401,melfi,40.9965,15.6514,48.65,78,100,12.71,1650149042,IT
402,touros,-5.1989,-35.4608,80.44,80,59,7.31,1650148750,BR
403,amapa,1.0,-52.0,73.04,98,69,2.24,1650149043,BR
404,bodden town,19.2833,-81.25,84.99,69,40,5.99,1650149044,KY
405,truro,50.2653,-5.0544,52.88,71,85,14.97,1650149044,GB
406,meridian,43.6121,-116.3915,56.16,43,100,26.46,1650148977,US
407,pangani,-5.4333,38.9667,74.64,90,100,8.55,1650149045,TZ
408,galdar,28.147,-15.6502,69.35,71,74,9.78,1650149045,ES
409,belyy yar,53.6039,91.3903,35.49,55,12,2.24,1650149046,RU
410,honningsvag,70.9821,25.9704,38.95,87,100,34.52,1650149046,NO
411,santa cruz del norte,23.1539,-81.9236,80.06,71,4,13.91,1650149047,CU
412,tilichiki,60.4667,166.1,29.62,85,96,5.79,1650149047,RU
413,necochea,-38.5473,-58.7368,59.25,71,89,4.81,1650148759,AR
414,middle island,40.8843,-72.9373,60.4,76,20,17.27,1650149048,US
415,hinton,53.4001,-117.5857,33.76,56,100,5.03,1650149048,CA
416,darhan,49.4867,105.9228,41.43,48,10,2.66,1650149049,MN
417,horsham,51.064,-0.3272,52.54,81,63,3.44,1650148915,GB
418,issoire,45.55,3.25,52.86,92,0,4.99,1650149050,FR
419,nunoa,-14.48,-70.6411,46.24,31,17,1.95,1650149050,PE
420,point pedro,9.8167,80.2333,82.44,83,88,12.39,1650149051,LK
421,lambarene,-0.7001,10.2406,76.14,95,100,3.31,1650149051,GA
422,matamoros,25.5333,-103.25,93.31,8,75,3.44,1650149051,MX
423,bria,6.5423,21.9863,75.88,65,73,2.35,1650149052,CF
424,xining,36.6167,101.7667,34.72,83,100,1.95,1650149052,CN
425,hudson bay,52.85,-102.3842,29.34,74,100,4.0,1650149053,CA
426,upernavik,72.7868,-56.1549,-10.84,95,29,10.92,1650148889,GL
427,andenes,69.3143,16.1194,42.78,87,100,12.66,1650149053,NO
428,phangnga,8.4509,98.5298,77.04,89,72,2.46,1650149054,TH
429,seeboden,46.8219,13.495,34.32,84,17,5.88,1650149054,AT
430,yumen,40.2833,97.2,37.63,27,0,7.76,1650149055,CN
431,bilma,18.6853,12.9164,85.86,10,17,9.44,1650149055,NE
432,biloela,-24.4167,150.5,73.04,49,0,11.79,1650149056,AU
433,lakes entrance,-37.8811,147.981,65.32,57,46,6.02,1650149056,AU
434,saint anthony,45.0205,-93.218,42.85,35,0,16.11,1650149057,US
435,gamba,-2.65,10.0,77.31,91,90,2.35,1650149004,GA
436,milkovo,54.7167,158.6167,28.53,60,85,4.79,1650149057,RU
437,kiunga,-6.1219,141.2906,76.64,96,100,0.43,1650149058,PG
438,bardiyah,31.7561,25.0865,76.39,29,61,17.25,1650149058,LY
439,mandalgovi,45.7625,106.2708,34.47,52,100,13.6,1650149058,MN
440,dunedin,-45.8742,170.5036,55.8,55,80,5.99,1650148837,NZ
441,urucara,-2.5364,-57.76,75.27,98,100,1.61,1650149059,BR
442,kokopo,-4.352,152.2633,82.56,72,94,3.11,1650149060,PG
443,harper,4.375,-7.7169,78.57,84,98,4.76,1650149060,LR
444,peleduy,59.6289,112.7406,28.51,97,100,5.32,1650149060,RU
445,port-cartier,50.0334,-66.8654,39.42,82,40,8.43,1650149061,CA
446,sete,43.4018,3.6966,66.24,56,33,7.56,1650149061,FR
447,daru,-9.0763,143.2092,83.41,76,78,7.47,1650149062,PG
448,nisia floresta,-6.0911,-35.2086,83.21,85,90,6.15,1650149062,BR
449,stende,57.15,22.5333,31.6,82,93,3.76,1650149063,LV
450,ostersund,63.1792,14.6357,37.85,81,40,9.22,1650149063,SE
451,povenets,62.8487,34.8262,27.01,91,99,4.38,1650149064,RU
452,dalvik,65.9702,-18.5286,44.53,84,100,10.36,1650149064,IS
453,avera,33.194,-82.5271,71.11,84,100,1.36,1650149064,US
454,ratnagiri,16.9833,73.3,78.57,73,1,1.66,1650149065,IN
455,west haven,41.2706,-72.9471,61.0,78,75,11.5,1650149066,US
456,fortuna,40.5982,-124.1573,56.93,59,0,11.5,1650148902,US
457,yazd,31.8972,54.3675,69.91,28,100,0.0,1650149066,IR
458,sakaraha,-22.9,44.5333,71.64,75,7,0.89,1650149067,MG
459,virginia beach,36.8529,-75.978,73.45,73,99,9.91,1650148915,US
460,neuquen,-38.9516,-68.0591,69.69,43,0,6.91,1650149068,AR
461,tarakan,3.3,117.6333,78.12,83,94,3.89,1650148860,ID
462,comodoro rivadavia,-45.8667,-67.5,57.06,67,0,14.97,1650149068,AR
463,coruripe,-10.1256,-36.1756,81.12,83,9,13.78,1650149069,BR
464,aquiraz,-3.9014,-38.3911,82.49,81,75,6.29,1650149069,BR
465,lerwick,60.1545,-1.1494,44.6,97,100,20.62,1650148945,GB
466,esterhazy,50.65,-102.0843,27.45,74,98,5.75,1650148936,CA
467,redmond,47.674,-122.1215,51.66,69,100,5.99,1650148624,US
468,enid,36.3956,-97.8784,60.03,34,100,16.11,1650149071,US
469,aljezur,37.3191,-8.8033,61.18,77,68,6.91,1650149071,PT
470,dwarka,22.2394,68.9678,79.65,77,1,11.99,1650149072,IN
471,tateyama,34.9833,139.8667,58.1,63,100,11.1,1650149072,JP
472,chunoyar,57.4467,97.3217,35.31,96,100,3.89,1650149073,RU
473,pochutla,15.7432,-96.4661,89.82,48,35,9.64,1650149073,MX
474,udachnyy,66.4167,112.4,26.46,92,100,15.9,1650148957,RU
475,sladkovo,55.5284,70.3385,42.15,76,66,6.58,1650149074,RU
476,colares,38.7992,-9.4469,61.32,60,96,17.0,1650149074,PT
477,ramsar,36.9226,50.6426,53.38,73,90,2.95,1650149075,IR
478,valley city,46.9233,-98.0032,27.12,54,0,8.05,1650148940,US
479,takoradi,4.8845,-1.7554,75.36,89,100,7.2,1650148975,GH
480,ondjiva,-17.0667,15.7333,69.04,72,100,5.73,1650149076,AO
481,turayf,31.6725,38.6637,59.25,21,0,5.75,1650149076,SA
482,punta alta,-38.8759,-62.0736,62.87,58,60,2.8,1650149077,AR
483,vadso,70.0744,29.7487,40.08,81,100,19.57,1650149077,NO
484,provideniya,64.3833,-173.3,32.31,91,91,12.55,1650149078,RU
485,pisco,-13.7,-76.2167,68.05,73,0,24.16,1650149027,PE
486,nakama,33.8167,130.7,51.66,58,60,2.08,1650149078,JP
487,tezu,27.9167,96.1667,65.41,93,97,6.17,1650149079,IN
488,saint-raymond,45.467,-73.6095,46.26,42,75,12.66,1650149079,CA
489,mangan,27.5167,88.5333,62.89,53,15,8.97,1650149080,IN
490,phan thiet,10.9333,108.1,77.07,87,10,6.06,1650148813,VN
491,tongren,27.7172,109.1853,48.76,94,100,1.72,1650149080,CN
492,bongandanga,1.5,21.05,71.64,86,72,2.89,1650149081,CD
493,oum hadjer,13.2954,19.6966,90.77,28,51,9.53,1650149081,TD
494,alice springs,-23.7,133.8833,74.75,32,40,2.3,1650148822,AU
495,asfi,32.2994,-9.2372,67.19,56,88,12.8,1650148928,MA
496,bali,-8.5,115.0,77.97,88,96,3.62,1650149082,ID
497,san lazaro,18.0387,-88.6622,88.66,47,22,11.9,1650149082,BZ
498,camana,-16.6228,-72.7111,67.96,79,100,8.77,1650149083,PE
499,bengkulu,-3.8004,102.2655,76.6,88,100,3.67,1650149083,ID
500,celestun,20.8667,-90.4,82.09,73,3,17.18,1650149084,MX
501,phuthaditjhaba,-28.5242,28.8158,46.92,97,100,3.87,1650149084,ZA
502,slatioara,45.1167,23.9167,47.5,82,82,4.52,1650149085,RO
503,manggar,-2.8833,108.2667,80.96,75,67,1.92,1650149085,ID
504,muzhi,65.3667,64.6667,14.45,84,97,8.28,1650149086,RU
505,lithakia,37.7167,20.8333,58.37,64,86,18.43,1650149086,GR
506,gerlafingen,47.1698,7.5751,47.91,61,2,18.41,1650149087,CH
507,port macquarie,-31.4333,152.9167,64.89,73,40,6.51,1650148888,AU
508,medicine hat,50.0501,-110.6683,40.71,41,75,12.66,1650149087,CA
509,oromocto,45.8351,-66.4792,47.71,92,100,4.0,1650149088,CA
510,khorixas,-20.3667,14.9667,68.67,47,10,0.58,1650149088,NA
511,bafq,31.6128,55.4107,73.27,28,77,5.5,1650149089,IR
512,vanimo,-2.6741,141.3028,81.54,81,56,4.29,1650149089,PG
513,lucea,18.451,-78.1736,79.86,74,9,4.07,1650149090,JM
514,gunjur,13.2019,-16.7339,68.9,81,39,17.38,1650149090,GM
515,bedele,8.456,36.353,56.07,96,100,1.45,1650149091,ET
516,dehloran,32.6941,47.2679,69.39,20,1,6.64,1650149091,IR
517,manali,13.1667,80.2667,86.09,86,49,7.49,1650149091,IN
518,abnub,27.2696,31.1511,80.82,11,0,6.64,1650149092,EG
519,saint-augustin,51.226,-58.6502,34.0,95,100,13.78,1650149092,CA
520,asyut,27.181,31.1837,80.78,12,0,5.97,1650149093,EG
521,luwuk,-0.9516,122.7875,80.28,85,90,1.97,1650149093,ID
522,nago,26.5881,127.9761,67.05,60,91,9.73,1650148865,JP
523,airai,-8.9266,125.4092,63.95,85,54,1.61,1650148932,TL
524,kiruna,67.8557,20.2251,31.12,93,83,6.91,1650149094,SE
525,gushi,34.6425,109.5843,48.07,68,100,5.77,1650149094,CN
526,zhezkazgan,47.8043,67.7144,53.26,62,68,18.41,1650149095,KZ
527,isangel,-19.55,169.2667,84.09,68,12,5.32,1650149021,VU
528,nara,34.6851,135.8049,51.49,50,93,2.86,1650149094,JP
529,faya,18.3851,42.4509,66.31,45,5,5.12,1650149096,SA
530,asau,46.4333,26.4,41.95,93,100,6.55,1650149096,RO
531,richards bay,-28.783,32.0377,63.37,88,100,5.95,1650149097,ZA
532,mae sai,20.4335,99.8762,78.39,53,78,1.41,1650149097,TH
533,ahipara,-35.1667,173.1667,68.2,70,100,14.54,1650149098,NZ
534,salgueiro,-8.0742,-39.1192,80.06,61,47,7.47,1650149098,BR
535,willowmore,-33.2926,23.4895,50.43,83,51,10.33,1650149099,ZA
536,dongsheng,39.8161,109.9776,41.4,81,100,14.27,1650149099,CN
537,bollnas,61.3482,16.3946,43.74,79,100,3.51,1650149099,SE
538,kulebaki,55.4133,42.5325,32.41,96,100,11.65,1650149100,RU
539,bubaque,11.2833,-15.8333,75.45,73,5,25.05,1650149005,GW
540,lugovoy,42.9472,72.7644,59.52,41,19,5.66,1650149101,KZ
541,kariba,-16.5167,28.8,73.51,69,85,4.7,1650149101,ZW
542,utinga,-5.8172,-35.3954,83.25,83,40,6.91,1650149102,BR
543,vostok,46.4856,135.8833,35.38,63,2,12.86,1650149103,RU
544,olivenza,38.6832,-7.103,59.29,71,14,3.87,1650149104,ES
545,srednekolymsk,67.45,153.6833,13.69,91,99,5.57,1650149104,RU
546,sangar,63.9242,127.4739,9.93,95,100,1.05,1650148899,RU
547,bousso,10.4795,16.7117,87.49,43,51,4.68,1650149105,TD
548,loma bonita,8.3833,-80.1667,85.78,65,40,16.11,1650149106,PA
549,norrkoping,58.5942,16.1826,47.57,53,100,6.91,1650149106,SE
550,homer,59.6425,-151.5483,44.47,60,100,9.22,1650149048,US
551,marana,32.4367,-111.2254,92.98,7,0,17.27,1650149107,US
552,salaga,8.5508,-0.5188,78.64,63,100,2.01,1650149107,GH
553,pimentel,-6.8367,-79.9342,70.09,68,0,26.46,1650149108,PE
554,saldanha,-33.0117,17.9442,60.85,64,0,11.99,1650148967,ZA
555,gimli,50.6336,-96.9907,28.42,59,100,6.91,1650149108,CA
556,puerto suarez,-18.95,-57.8,77.25,53,33,4.81,1650149109,BO
557,flinders,-34.5833,150.8552,68.05,86,2,4.59,1650149109,AU
558,saint-pierre,-21.3393,55.4781,75.9,76,75,5.75,1650149110,RE
559,piacabucu,-10.4056,-36.4344,81.55,82,5,12.62,1650149110,BR
560,ituacu,-13.8133,-41.2967,72.03,90,100,4.88,1650149111,BR
561,alekseyevsk,57.8406,108.3492,36.75,97,100,7.02,1650149111,RU
562,arys,42.4252,68.795,64.89,42,100,5.44,1650149111,KZ
563,kabala,9.5833,-11.55,78.17,48,29,7.72,1650149112,SL
564,houma,29.5958,-90.7195,84.99,74,40,10.36,1650149112,US
565,dodge city,37.7528,-100.0171,57.22,33,75,18.41,1650148506,US
566,padang,-0.9492,100.3543,77.05,85,98,4.0,1650148950,ID
567,hasaki,35.7333,140.8333,50.29,55,85,7.94,1650148940,JP
568,waingapu,-9.6567,120.2641,80.94,84,72,6.17,1650149114,ID
569,terrace,54.5163,-128.6035,51.71,17,20,6.91,1650149024,CA
